ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
553938281,Photo,White-bearded Manakin,Manacus manacus,,Chris Venetz | Ornis Birding Expeditions,2023-01-02,2023,1,2,1000,Ecuador,EC-E,Esmeraldas,,Playa de Oro Reserva de Los Tigrillos,0.8484740,-78.7822723,"",,Unspecified,"","",,,,,,,S132802047,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,2,,1366,2048
553938231,Photo,White-bearded Manakin,Manacus manacus,,Chris Venetz | Ornis Birding Expeditions,2023-01-02,2023,1,2,1000,Ecuador,EC-E,Esmeraldas,,Playa de Oro Reserva de Los Tigrillos,0.8484740,-78.7822723,"",,Unspecified,"","",,,,,,,S132802047,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,2,,1366,2048
553930461,Photo,White-bearded Manakin,Manacus manacus,,OMAR JAVIER LÓPEZ GÓMEZ,2023-03-20,2023,3,20,602,Colombia,CO-CUN,Cundinamarca,,"Paratebueno, Cundinamarca, CO (4,572, -73,095)",4.5716997,-73.0954448,"",,Unspecified,"","",,,,,,,S131420774,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,1,,1500,2000
553930471,Photo,White-bearded Manakin,Manacus manacus,,OMAR JAVIER LÓPEZ GÓMEZ,2023-03-20,2023,3,20,602,Colombia,CO-CUN,Cundinamarca,,"Paratebueno, Cundinamarca, CO (4,572, -73,095)",4.5716997,-73.0954448,"",,Unspecified,"","",,,,,,,S131420774,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,1500,2000
553234201,Photo,White-bearded Manakin,Manacus manacus,,Don Coons,2023-03-18,2023,3,18,829,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S132143503,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,2,,1509,1161
553234101,Photo,White-bearded Manakin,Manacus manacus,,Don Coons,2023-03-18,2023,3,18,829,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S132143503,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,1393,1177
553234051,Photo,White-bearded Manakin,Manacus manacus,,Don Coons,2023-03-18,2023,3,18,829,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S132143503,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1313,1237
552798661,Photo,White-bearded Manakin,Manacus manacus,,Carl Winstead,2012-02-15,2012,2,15,0,Brazil,BR-BA,Bahia,,Porto Seguro--RPPN Estação Veracel,-16.3876004,-39.1697613,"",,Unspecified,"","",,,,,,,S132544671,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,560,688
552798651,Photo,White-bearded Manakin,Manacus manacus,,Carl Winstead,2012-02-15,2012,2,15,0,Brazil,BR-BA,Bahia,,Porto Seguro--RPPN Estação Veracel,-16.3876004,-39.1697613,"",,Unspecified,"","",,,,,,,S132544671,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,716,756
552798671,Photo,White-bearded Manakin,Manacus manacus,,Carl Winstead,2012-02-15,2012,2,15,0,Brazil,BR-BA,Bahia,,Porto Seguro--RPPN Estação Veracel,-16.3876004,-39.1697613,"",,Unspecified,"","",,,,,,,S132544671,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,440,656
552479981,Photo,White-bearded Manakin,Manacus manacus,,Luke Berg,2023-03-10,2023,3,10,1640,Brazil,BR-SP,São Paulo,,Ubatuba--Fazenda Angelim,-23.3972349,-45.0641004,"",,Unspecified,"","",,,,,,,S130605443,"",,,,male.,Manacus manacus,whbman1,Species,15475,,.00,0,,1986,2979
552111211,Photo,White-bearded Manakin,Manacus manacus,,Ben Sheldon,2023-03-23,2023,3,23,1437,Colombia,CO-ANT,Antioquia,,"Altavista-Río Claro, San Luis CO-Antioquia 5.93385, -74.86703",5.9338490,-74.8670340,"",,Unspecified,"","",,,,,,,S131625521,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,,
552110821,Photo,White-bearded Manakin,Manacus manacus,,Ben Sheldon,2023-03-23,2023,3,23,1437,Colombia,CO-ANT,Antioquia,,"Altavista-Río Claro, San Luis CO-Antioquia 5.93385, -74.86703",5.9338490,-74.8670340,"",,Unspecified,"","",,,,,,,S131625521,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,,
551980851,Photo,White-bearded Manakin,Manacus manacus,,Nestor Monsalve (@birds.nestor),2023-03-12,2023,3,12,700,Colombia,CO-ANT,Antioquia,,Reserva Costa Rica,6.0529208,-74.6646211,Adult Male – 1,,Unspecified,"","",,,,,,,S130941633,"",,,,,Manacus manacus,whbman1,Species,15475,,4.50,2,,2140,3210
551608831,Photo,White-bearded Manakin,Manacus manacus,,Carlos Rossello,2023-03-29,2023,3,29,728,Brazil,BR-SC,Santa Catarina,,ARIE de Zimbros--Trilha Costeira de Zimbros,-27.1849667,-48.5448162,"",,Unspecified,"","",,,,,,,S132144776,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,1,,3343,2508
551608801,Photo,White-bearded Manakin,Manacus manacus,,Carlos Rossello,2023-03-29,2023,3,29,728,Brazil,BR-SC,Santa Catarina,,ARIE de Zimbros--Trilha Costeira de Zimbros,-27.1849667,-48.5448162,"",,Unspecified,"","",,,,,,,S132144776,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3343,2507
551608811,Photo,White-bearded Manakin,Manacus manacus,,Carlos Rossello,2023-03-29,2023,3,29,728,Brazil,BR-SC,Santa Catarina,,ARIE de Zimbros--Trilha Costeira de Zimbros,-27.1849667,-48.5448162,"",,Unspecified,"","",,,,,,,S132144776,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3343,2508
551608821,Photo,White-bearded Manakin,Manacus manacus,,Carlos Rossello,2023-03-29,2023,3,29,728,Brazil,BR-SC,Santa Catarina,,ARIE de Zimbros--Trilha Costeira de Zimbros,-27.1849667,-48.5448162,"",,Unspecified,"","",,,,,,,S132144776,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3210,2407
551466991,Photo,White-bearded Manakin,Manacus manacus,,Luke Berg,2023-03-09,2023,3,9,1445,Brazil,BR-RJ,Rio de Janeiro,,Angra dos Reis--Sertão de Mambucaba/Perequê,-22.9828067,-44.5432091,"",,Unspecified,"","",,,,,,,S130536636,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1825,2738
551417751,Photo,White-bearded Manakin,Manacus manacus,,Richard Garrigus,2023-03-29,2023,3,29,1302,Brazil,BR-SP,São Paulo,,Ubatuba--Fazenda Angelim,-23.3972349,-45.0641004,"",,Unspecified,"","",,,,,,,S132229746,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3648,5472
551179511,Photo,White-bearded Manakin,Manacus manacus,,Joshua Vandermeulen,2023-03-12,2023,3,12,846,Brazil,BR-SP,São Paulo,,Peruíbe--Guaraú,-24.3674092,-47.0262050,"",,Unspecified,"","",,,,,,,S130741853,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,1047,1500
551095991,Photo,White-bearded Manakin,Manacus manacus,,Steve Aversa,2023-03-29,2023,3,29,950,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S132156162,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,1664,2224
550705011,Photo,White-bearded Manakin,Manacus manacus,,Angie Nurien Duarte Moreno,2023-03-12,2023,3,12,1053,Colombia,CO-ANT,Antioquia,,"01 Bosque Abierto, Parcela 4",5.8487032,-74.8493790,Adult Male – 1,"",Unspecified,"","",,,,,,,S131479546,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,2,Habitat,3240,4320
550705001,Photo,White-bearded Manakin,Manacus manacus,,Angie Nurien Duarte Moreno,2023-03-12,2023,3,12,1053,Colombia,CO-ANT,Antioquia,,"01 Bosque Abierto, Parcela 4",5.8487032,-74.8493790,Adult Male – 1,"",Unspecified,"","",,,,,,,S131479546,"",,,,,Manacus manacus,whbman1,Species,15475,,3.50,2,Habitat,3240,4320
550041431,Photo,White-bearded Manakin,Manacus manacus,,Travis Vance,2020-11-20,2020,11,20,620,Ecuador,EC-P,Pichincha,,Rio Silanche Bird Sanctuary,0.1451850,-79.1414713,Adult Male – 1,,Unspecified,"","",,,,,,,S76517637,"",,,,,Manacus manacus,whbman1,Species,15475,,1.00,1,,552,891
550032881,Photo,White-bearded Manakin,Manacus manacus,,Nestor Monsalve (@birds.nestor),2023-03-11,2023,3,11,1002,Colombia,CO-ANT,Antioquia,,Reserva Costa Rica,6.0529208,-74.6646211,Adult Female – 1,"",Unspecified,"","",,,,,,,S130941629,"",,,,,Manacus manacus,whbman1,Species,15475,,3.50,2,Habitat,2140,3210
549983821,Photo,White-bearded Manakin,Manacus manacus,,Eamon Corbett,2022-07-30,2022,7,30,1030,Colombia,CO-CAU,Cauca,,Camino Guapi-Chanzará (Cauca),2.5781360,-77.9005920,"",,Unspecified,"","",,,,,,,S116396558,"",,,,Green. ID by probability.,Manacus manacus,whbman1,Species,15475,,1.00,1,,1718,2290
549727561,Photo,White-bearded Manakin,Manacus manacus,,Christoph Moning,2023-02-19,2023,2,19,650,Colombia,CO-CUN,Cundinamarca,,Laguna El Tabacal,5.0263256,-74.3283141,"",,Unspecified,"","",,,,,,,S128946618,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,2248,3593
549230601,Photo,White-bearded Manakin,Manacus manacus,,Jerry Chen,2023-03-03,2023,3,3,1522,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S130086465,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,1507,2261
549230581,Photo,White-bearded Manakin,Manacus manacus,,Jerry Chen,2023-03-03,2023,3,3,1522,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S130086465,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,1525,2287
549230551,Photo,White-bearded Manakin,Manacus manacus,,Jerry Chen,2023-03-03,2023,3,3,1522,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S130086465,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,1354,2031
549230571,Photo,White-bearded Manakin,Manacus manacus,,Jerry Chen,2023-03-03,2023,3,3,1522,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S130086465,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1469,2203
549230541,Photo,White-bearded Manakin,Manacus manacus,,Jerry Chen,2023-03-03,2023,3,3,1522,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S130086465,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1519,2278
549230561,Photo,White-bearded Manakin,Manacus manacus,,Jerry Chen,2023-03-03,2023,3,3,1522,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S130086465,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1426,2139
549099401,Photo,White-bearded Manakin,Manacus manacus,,Richard Garrigus,2023-03-24,2023,3,24,1209,Brazil,BR-SP,São Paulo,,Ubatuba--Fazenda Angelim,-23.3972349,-45.0641004,"",,Unspecified,"","",,,,,,,S131692440,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,2176,3064
549086131,Photo,White-bearded Manakin,Manacus manacus,,Radek Nesvačil,2023-02-13,2023,2,13,0,Ecuador,EC-P,Pichincha,,Milpe Bird Sanctuary,0.0333270,-78.8684510,"",,Unspecified,"","",,,,,,,S131702031,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3888,5184
548785801,Photo,White-bearded Manakin,Manacus manacus,,Henry Miller Alexandre,2022-07-02,2022,7,2,655,Brazil,BR-SP,São Paulo,,Ubatuba--Sertão do Ubatumirim,-23.3033660,-44.8880185,Adult Male – 1,,Unspecified,"","",,,,,,,S114253228,"",,,"Na borda da mata pouco antes da ave atravessar a estrada para o outro lado, permitindo somente duas imagens (sendo esta a melhor das duas)",,Manacus manacus,whbman1,Species,15475,,5.00,2,,2779,4169
548739481,Photo,White-bearded Manakin,Manacus manacus,,Bob Hargis,2010-11-25,2010,11,25,700,Colombia,CO-SAN,Santander,,Pauxi Pauxi birding,6.9552389,-73.4408524,"",,Unspecified,"","",,,,,,,S131475264,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1730,2348
548327661,Photo,White-bearded Manakin,Manacus manacus,,Freddy Jaraba Aldana,2023-03-19,2023,3,19,615,Colombia,CO-SUC,Sucre,,Fundación Roca Madre,9.1652520,-75.1378467,"",,Unspecified,"","",,,,,,,S131473780,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3456,4608
548327671,Photo,White-bearded Manakin,Manacus manacus,,Freddy Jaraba Aldana,2023-03-19,2023,3,19,615,Colombia,CO-SUC,Sucre,,Fundación Roca Madre,9.1652520,-75.1378467,"",,Unspecified,"","",,,,,,,S131473780,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,3456,4608
548225071,Photo,White-bearded Manakin,Manacus manacus,,Timo Mitzen,2023-03-04,2023,3,4,619,Colombia,CO-ANT,Antioquia,,RN Cañon del Río Claro,5.8922594,-74.8552877,"",,Unspecified,"","",,,,,,,S130612932,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,2,,3207,5352
548225081,Photo,White-bearded Manakin,Manacus manacus,,Timo Mitzen,2023-03-04,2023,3,4,619,Colombia,CO-ANT,Antioquia,,RN Cañon del Río Claro,5.8922594,-74.8552877,"",,Unspecified,"","",,,,,,,S130612932,"",,,,,Manacus manacus,whbman1,Species,15475,,3.50,2,,3207,5352
548092141,Photo,White-bearded Manakin,Manacus manacus,,Bob Hargis,2010-11-25,2010,11,25,700,Colombia,CO-SAN,Santander,,Pauxi Pauxi birding,6.9552389,-73.4408524,"",,Unspecified,"","",,,,,,,S131475264,"",,,,,Manacus manacus,whbman1,Species,15475,,1.00,1,,1730,2348
547842791,Photo,White-bearded Manakin,Manacus manacus,,Johnnier Arango 🇨🇴 theandeanbirder.com,2019-11-27,2019,11,27,1100,Colombia,CO-MET,Meta,,Bosque Bavaria,4.1829800,-73.6518300,"",,Unspecified,"","",,,,,,,S61811149,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,2,,898,1196
547525351,Photo,White-bearded Manakin,Manacus manacus,,Jean-Louis  Carlo,2022-08-10,2022,8,10,0,Brazil,BR-RJ,Rio de Janeiro,,REGUA -- Waldenoor Trail,-22.4212570,-42.8156000,"",,Unspecified,"","",,,,,,,S119656967,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,1813,1813
547525341,Photo,White-bearded Manakin,Manacus manacus,,Jean-Louis  Carlo,2022-08-10,2022,8,10,0,Brazil,BR-RJ,Rio de Janeiro,,REGUA -- Waldenoor Trail,-22.4212570,-42.8156000,"",,Unspecified,"","",,,,,,,S119656967,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,1813,1813
547101991,Photo,White-bearded Manakin,Manacus manacus,,Dietmar PETRAUSCH,2023-03-10,2023,3,10,740,Brazil,BR-BA,Bahia,,RPPN Rio do Brasil,-16.5441145,-39.1259278,Adult Male – 1,,Unspecified,"","",,,,,,,S130592968,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,1600,2400
546475591,Photo,White-bearded Manakin,Manacus manacus,,Jan Allen,2023-02-10,2023,2,10,949,Ecuador,EC-P,Pichincha,,Rio Silanche Bird Sanctuary,0.1451850,-79.1414713,Adult Male – 1,,Unspecified,"","",,,,,,,S128002122,"",,,,Male,Manacus manacus,whbman1,Species,15475,,3.67,3,,1426,1845
546248631,Photo,White-bearded Manakin,Manacus manacus,,Jerson Marin (@rojo_pajarero),2023-03-12,2023,3,12,700,Colombia,CO-ANT,Antioquia,,Reserva Costa Rica,6.0529208,-74.6646211,"",,Unspecified,"","",,,,,,,S130942264,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,3888,5184
546087671,Photo,White-bearded Manakin,Manacus manacus,,Ryan M (@BirdsAndDogs),2023-03-12,2023,3,12,1514,Colombia,CO-LAG,La Guajira,,Reserva Miramar,11.1912122,-73.4355203,"",,Unspecified,"","",,,,,,,S130907997,"",,,,Calling and singing,Manacus manacus,whbman1,Species,15475,,4.50,2,,3018,4589
546086091,Photo,White-bearded Manakin,Manacus manacus,,Ryan M (@BirdsAndDogs),2023-02-25,2023,2,25,1325,Colombia,CO-MAG,Magdalena,,Reserva Gairama,11.1566230,-74.1407220,"",,Unspecified,"","",,,,,,,S129746820,"",,,,,Manacus manacus,whbman1,Species,15475,,4.50,2,,3093,3834
545944991,Photo,White-bearded Manakin,Manacus manacus,,Richard Fleming,2023-03-06,2023,3,6,1615,Colombia,CO-ANT,Antioquia,,Los Mangos,6.8125660,-75.1474590,"",,Unspecified,"","",,,,,,,S130350622,"",,,,,Manacus manacus,whbman1,Species,15475,,2.00,1,,3456,4608
545944971,Photo,White-bearded Manakin,Manacus manacus,,Richard Fleming,2023-03-06,2023,3,6,1615,Colombia,CO-ANT,Antioquia,,Los Mangos,6.8125660,-75.1474590,"",,Unspecified,"","",,,,,,,S130350622,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,3456,4608
545944911,Photo,White-bearded Manakin,Manacus manacus,,Richard Fleming,2023-03-06,2023,3,6,1615,Colombia,CO-ANT,Antioquia,,Los Mangos,6.8125660,-75.1474590,"",,Unspecified,"","",,,,,,,S130350622,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,2,,3456,4608
545927231,Photo,White-bearded Manakin,Manacus manacus,,Melissa Clawson,2022-05-16,2022,5,16,1135,Trinidad and Tobago,TT-TUP,Tunapuna-Piarco,,Asa Wright Nature Centre,10.7174435,-61.2980568,"",,Unspecified,"","",,,,,,,S131005582,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,1,,606,1080
545890221,Photo,White-bearded Manakin,Manacus manacus,,VINICIUS VIANNA,2023-03-15,2023,3,15,630,Brazil,BR-BA,Bahia,,PN de Boa Nova--Mata do Charme (Mata da Alcione),-14.4131720,-40.1356000,"",,Unspecified,"","",,,,,,,S130959905,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,3555,4740
545804111,Photo,White-bearded Manakin,Manacus manacus,,Jean-Louis  Carlo,2022-08-03,2022,8,3,0,Brazil,BR-MT,Mato Grosso,,Jardim da Amazônia (Gardens of the Amazon),-13.5407027,-56.6315174,"",,Unspecified,"","",,,,,,,S118551471,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1606,2569
545804121,Photo,White-bearded Manakin,Manacus manacus,,Jean-Louis  Carlo,2022-08-03,2022,8,3,0,Brazil,BR-MT,Mato Grosso,,Jardim da Amazônia (Gardens of the Amazon),-13.5407027,-56.6315174,"",,Unspecified,"","",,,,,,,S118551471,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1606,2569
545725191,Photo,White-bearded Manakin,Manacus manacus,,Luis Hernánadez(@Birdsbyluishernandez),2023-03-12,2023,3,12,700,Colombia,CO-ANT,Antioquia,,Reserva Costa Rica,6.0529208,-74.6646211,Adult Male – 1,,Unspecified,"","",,,,,,,S130941887,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,2,,2059,3181
545036171,Photo,White-bearded Manakin,Manacus manacus,,Ader Ávila,2023-03-11,2023,3,11,654,Colombia,CO-SUC,Sucre,,Roca Madre,9.5079908,-75.4094883,Adult Male – 1,"Courtship, Display, or Copulation; Vocalizing",Unspecified,"","",,,,,,,S130696542,"",,,,,Manacus manacus,whbman1,Species,15475,,5.00,1,Habitat,2448,3264
544759951,Photo,White-bearded Manakin,Manacus manacus,Manacus manacus -- White-bearded Manakin,Rubélio Souza,2023-03-12,2023,3,12,1107,Brazil,BR-SP,São Paulo,,São José dos Campos--Sítio Bicudinho,-23.1011507,-46.0180046,Female – 1,"",Unspecified,"","",,,,,,,S130759169,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,Habitat,1080,1440
544448971,Photo,White-bearded Manakin,Manacus manacus,,Juan Carlos Salamanca Gómez,2023-03-08,2023,3,8,630,Colombia,CO-CUN,Cundinamarca,,Vereda La Finlandia,5.7163039,-74.4498969,"",,Unspecified,"","",,,,,,,S130669564,"",,,,,Manacus manacus,whbman1,Species,15475,,2.00,1,,3456,4608
544413391,Photo,White-bearded Manakin,Manacus manacus,,Paulo Clemente Guevara,2023-03-11,2023,3,11,1515,Ecuador,EC-N,Napo,,Jardin Botánico Ruth Garden,-1.0820610,-77.9253920,"",,Unspecified,"","",,,,,,,S130693412,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,1671,2318
544242651,Photo,White-bearded Manakin,Manacus manacus,,Keith Leonard,2023-03-03,2023,3,3,618,Colombia,CO-MAG,Magdalena,,Camp Adan,11.1363608,-73.8590026,"",,Unspecified,"","",,,,,,,S130289107,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,3608,5438
544242391,Photo,White-bearded Manakin,Manacus manacus,,Keith Leonard,2023-03-03,2023,3,3,618,Colombia,CO-MAG,Magdalena,,Camp Adan,11.1363608,-73.8590026,"",,Unspecified,"","",,,,,,,S130289107,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,3582,5488
544239181,Photo,White-bearded Manakin,Manacus manacus,,Keith Leonard,2023-03-02,2023,3,2,1146,Colombia,CO-MAG,Magdalena,,"Camino a Ciudad Perdida, Santa Marta CO-Magdalena 11.18246, -73.82978",11.1824560,-73.8297760,"",,Unspecified,"","",,,,,,,S130289172,"",,,,,Manacus manacus,whbman1,Species,15475,,2.50,2,,3820,5558
544238981,Photo,White-bearded Manakin,Manacus manacus,,Keith Leonard,2023-03-02,2023,3,2,1146,Colombia,CO-MAG,Magdalena,,"Camino a Ciudad Perdida, Santa Marta CO-Magdalena 11.18246, -73.82978",11.1824560,-73.8297760,"",,Unspecified,"","",,,,,,,S130289172,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,3762,5497
544238921,Photo,White-bearded Manakin,Manacus manacus,,Keith Leonard,2023-03-02,2023,3,2,1146,Colombia,CO-MAG,Magdalena,,"Camino a Ciudad Perdida, Santa Marta CO-Magdalena 11.18246, -73.82978",11.1824560,-73.8297760,"",,Unspecified,"","",,,,,,,S130289172,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,1,,3691,5446
543763591,Photo,White-bearded Manakin,Manacus manacus,,Luz S Cardona M,2023-03-04,2023,3,4,1438,Colombia,CO-CUN,Cundinamarca,,Finca La Esperanza,4.7507639,-74.6873046,"",,Unspecified,"","",,,,,,,S130169358,"",,,,Hembra,Manacus manacus,whbman1,Species,15475,,5.00,1,,3456,4608
543349221,Photo,White-bearded Manakin,Manacus manacus,,Steve James,2023-03-06,2023,3,6,643,Argentina,AR-N-GB,Misiones,General Manuel Belgrano,Surucuá Reserva & Ecolodge,-25.5380539,-54.1412124,"",,Unspecified,"","",,,,,,,S130315352,"",,,,Photographed.,Manacus manacus,whbman1,Species,15475,,5.00,1,,1504,2715
542895641,Photo,White-bearded Manakin,Manacus manacus,,Marco Valentini,2022-11-11,2022,11,11,800,Colombia,CO-BOY,Boyacá,,RNA Paujil (Dept. Boyaca),6.0501241,-74.2624618,"",,Unspecified,"","",,,,,,,S122232488,"",,,,,Manacus manacus,whbman1,Species,15475,,4.50,2,,2668,4000
542895611,Photo,White-bearded Manakin,Manacus manacus,,Marco Valentini,2022-11-11,2022,11,11,800,Colombia,CO-BOY,Boyacá,,RNA Paujil (Dept. Boyaca),6.0501241,-74.2624618,"",,Unspecified,"","",,,,,,,S122232488,"",,,,,Manacus manacus,whbman1,Species,15475,,4.67,3,,2668,4000
542895621,Photo,White-bearded Manakin,Manacus manacus,,Marco Valentini,2022-11-11,2022,11,11,800,Colombia,CO-BOY,Boyacá,,RNA Paujil (Dept. Boyaca),6.0501241,-74.2624618,"",,Unspecified,"","",,,,,,,S122232488,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,2,,2668,4000
542895631,Photo,White-bearded Manakin,Manacus manacus,,Marco Valentini,2022-11-11,2022,11,11,800,Colombia,CO-BOY,Boyacá,,RNA Paujil (Dept. Boyaca),6.0501241,-74.2624618,"",,Unspecified,"","",,,,,,,S122232488,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,1,,2668,4000
542797141,Photo,White-bearded Manakin,Manacus manacus,,Alex Boas,2023-03-06,2023,3,6,802,Ecuador,EC-P,Pichincha,,"San Miguel de los Bancos, Pichincha, EC (0.095, -78.941)",0.0953092,-78.9414031,"",,Unspecified,"","",,,,,,,S130353634,"",,,,,Manacus manacus,whbman1,Species,15475,,4.00,2,,1076,1208
542289271,Photo,White-bearded Manakin,Manacus manacus,,Janaina Souza,2023-03-05,2023,3,5,609,Brazil,BR-SP,São Paulo,,PNM Augusto Ruschi,-23.0716775,-45.9335804,Adult Female – 1,"",Unspecified,"","",,,,,,,S130211539,"",,,,Fêmea/Macho,Manacus manacus,whbman1,Species,15475,,3.00,1,Habitat,616,631
542289261,Photo,White-bearded Manakin,Manacus manacus,,Janaina Souza,2023-03-05,2023,3,5,609,Brazil,BR-SP,São Paulo,,PNM Augusto Ruschi,-23.0716775,-45.9335804,Adult Female – 1,"",Unspecified,"","",,,,,,,S130211539,"",,,,Fêmea/Macho,Manacus manacus,whbman1,Species,15475,,3.00,1,Habitat,464,469
542014301,Photo,White-bearded Manakin,Manacus manacus,,Júlio César Machado,2023-03-04,2023,3,4,657,Brazil,BR-SP,São Paulo,,PNM Augusto Ruschi,-23.0716775,-45.9335804,"",,Unspecified,"","",,,,,,,S130138177,"",,,,Macho/fêmea,Manacus manacus,whbman1,Species,15475,,2.00,1,,310,310
542014291,Photo,White-bearded Manakin,Manacus manacus,,Júlio César Machado,2023-03-04,2023,3,4,657,Brazil,BR-SP,São Paulo,,PNM Augusto Ruschi,-23.0716775,-45.9335804,"",,Unspecified,"","",,,,,,,S130138177,"",,,,Macho/fêmea,Manacus manacus,whbman1,Species,15475,,2.00,1,,310,310
542014281,Photo,White-bearded Manakin,Manacus manacus,,Júlio César Machado,2023-03-04,2023,3,4,657,Brazil,BR-SP,São Paulo,,PNM Augusto Ruschi,-23.0716775,-45.9335804,"",,Unspecified,"","",,,,,,,S130138177,"",,,,Macho/fêmea,Manacus manacus,whbman1,Species,15475,,2.00,1,,310,310
541807341,Photo,White-bearded Manakin,Manacus manacus,Manacus manacus -- White-bearded Manakin,Janaina Souza,2023-03-04,2023,3,4,657,Brazil,BR-SP,São Paulo,,PNM Augusto Ruschi,-23.0716775,-45.9335804,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S130119853,"",,,,Macho/fêmea,Manacus manacus,whbman1,Species,15475,,2.00,1,Habitat,799,887
